dataset,split_id,seed,method,test_acc,delta_vs_mlp,n_helped,n_hurt,correction_precision,frac_confident,frac_unreliable,frac_corrected,tau,rho,runtime_sec
texas,0,133700,V2_MULTIBRANCH,0.7567567567567568,0.0,,,,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0.008864147996064276
texas,0,133700,FINAL_V3,0.7567567567567568,0.0,0,0,0.0,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0.006708953995257616
texas,1,133800,MLP_ONLY,0.9459459459459459,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,1,133800,BASELINE_SGC_V1,0.972972972972973,0.027027027027027084,,,,,,0.02702702702702703,0.05,,0.006665680994046852
texas,1,133800,V2_MULTIBRANCH,0.972972972972973,0.027027027027027084,,,,0.972972972972973,0.0,0.02702702702702703,0.05,0.3,0.009115298991673626
texas,1,133800,FINAL_V3,0.972972972972973,0.027027027027027084,1,0,1.0,0.972972972972973,0.0,0.02702702702702703,0.05,0.3,0.006808499005273916
texas,2,133900,MLP_ONLY,0.8378378378378378,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,2,133900,BASELINE_SGC_V1,0.8378378378378378,0.0,,,,,,0.0,0.05,,0.00650506500096526
texas,2,133900,V2_MULTIBRANCH,0.8378378378378378,0.0,,,,1.0,0.0,0.0,0.05,0.3,0.009139497997239232
texas,2,133900,FINAL_V3,0.8378378378378378,0.0,0,0,1.0,1.0,0.0,0.0,0.05,0.3,0.006727480998961255
texas,3,134000,MLP_ONLY,0.8108108108108109,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,3,134000,BASELINE_SGC_V1,0.8378378378378378,0.027027027027026973,,,,,,0.05405405405405406,0.05,,0.006824868003604934
texas,3,134000,V2_MULTIBRANCH,0.8378378378378378,0.027027027027026973,,,,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0.009276028999011032
texas,3,134000,FINAL_V3,0.8378378378378378,0.027027027027026973,1,0,1.0,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0.007007312000496313
texas,4,134100,MLP_ONLY,0.7297297297297297,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
texas,4,134100,BASELINE_SGC_V1,0.7027027027027027,-0.027027027027026973,,,,,,0.05405405405405406,0.05,,0.0068756029941141605
texas,4,134100,V2_MULTIBRANCH,0.7297297297297297,0.0,,,,0.9459459459459459,0.02702702702702703,0.02702702702702703,0.05,0.3,0.009480538006755523
texas,4,134100,FINAL_V3,0.7297297297297297,0.0,0,0,0.0,0.9459459459459459,0.02702702702702703,0.02702702702702703,0.05,0.3,0.007423340997775085
wisconsin,0,133700,MLP_ONLY,0.803921568627451,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,0,133700,BASELINE_SGC_V1,0.803921568627451,0.0,,,,,,0.0,0.05,,0.009186091003357433
wisconsin,0,133700,V2_MULTIBRANCH,0.803921568627451,0.0,,,,1.0,0.0,0.0,0.05,0.3,0.011585669009946287
wisconsin,0,133700,FINAL_V3,0.803921568627451,0.0,0,0,1.0,1.0,0.0,0.0,0.05,0.3,0.00888424699951429
wisconsin,1,133800,MLP_ONLY,0.7843137254901961,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,1,133800,BASELINE_SGC_V1,0.7843137254901961,0.0,,,,,,0.0196078431372549,0.05,,0.00900744400860276
wisconsin,1,133800,V2_MULTIBRANCH,0.7843137254901961,0.0,,,,0.9803921568627451,0.0,0.0196078431372549,0.05,0.7,0.011696158006088808
wisconsin,1,133800,FINAL_V3,0.7843137254901961,0.0,0,0,1.0,0.9803921568627451,0.0,0.0196078431372549,0.05,0.3,0.0090440459898673
wisconsin,2,133900,MLP_ONLY,0.803921568627451,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,2,133900,BASELINE_SGC_V1,0.803921568627451,0.0,,,,,,0.0392156862745098,0.05,,0.009197220002533868
wisconsin,2,133900,V2_MULTIBRANCH,0.803921568627451,0.0,,,,0.9607843137254902,0.0392156862745098,0.0,0.05,0.3,0.011803259010775946
wisconsin,2,133900,FINAL_V3,0.803921568627451,0.0,0,0,1.0,0.9607843137254902,0.0392156862745098,0.0,0.05,0.3,0.009288608998758718
wisconsin,3,134000,MLP_ONLY,0.8823529411764706,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,3,134000,BASELINE_SGC_V1,0.8823529411764706,0.0,,,,,,0.0392156862745098,0.05,,0.008940991989220493
wisconsin,3,134000,V2_MULTIBRANCH,0.8823529411764706,0.0,,,,0.9607843137254902,0.0196078431372549,0.0196078431372549,0.05,0.3,0.011594441995839588
wisconsin,3,134000,FINAL_V3,0.8823529411764706,0.0,0,0,1.0,0.9607843137254902,0.0196078431372549,0.0196078431372549,0.05,0.3,0.009263594998628832
wisconsin,4,134100,MLP_ONLY,0.8823529411764706,0.0,0,0,1.0,1.0,0.0,0.0,,,0.0
wisconsin,4,134100,BASELINE_SGC_V1,0.8823529411764706,0.0,,,,,,0.0196078431372549,0.05,,0.00954150799952913
wisconsin,4,134100,V2_MULTIBRANCH,0.8823529411764706,0.0,,,,0.9803921568627451,0.0196078431372549,0.0,0.05,0.7,0.012156559008872136
wisconsin,4,134100,FINAL_V3,0.8823529411764706,0.0,0,0,0.0,0.9803921568627451,0.0,0.0196078431372549,0.05,0.4,0.009423726005479693
