dataset,split_id,selected_tau,base_selected_rho,rho,delta_rho,test_acc,delta_vs_mlp,fraction_routed_to_correction
chameleon,6,0.05,0.3,0.4,0.1,0.47368421052631576,0.0,0.02412280701754386
chameleon,7,0.2,0.3,0.19999999999999998,-0.1,0.4824561403508772,-0.006578947368421073,0.21052631578947367
chameleon,7,0.2,0.3,0.25,-0.05,0.4824561403508772,-0.006578947368421073,0.20833333333333334
chameleon,7,0.2,0.3,0.3,0.0,0.4824561403508772,-0.006578947368421073,0.20614035087719298
chameleon,7,0.2,0.3,0.35,0.05,0.48464912280701755,-0.004385964912280715,0.17982456140350878
chameleon,7,0.2,0.3,0.4,0.1,0.48464912280701755,-0.004385964912280715,0.12719298245614036
chameleon,8,0.05,0.3,0.19999999999999998,-0.1,0.48464912280701755,-0.0021929824561403577,0.03728070175438596
chameleon,8,0.05,0.3,0.25,-0.05,0.48464912280701755,-0.0021929824561403577,0.03728070175438596
chameleon,8,0.05,0.3,0.3,0.0,0.48464912280701755,-0.0021929824561403577,0.03728070175438596
chameleon,8,0.05,0.3,0.35,0.05,0.48464912280701755,-0.0021929824561403577,0.03728070175438596
chameleon,8,0.05,0.3,0.4,0.1,0.48464912280701755,-0.0021929824561403577,0.03070175438596491
chameleon,9,0.1,0.3,0.19999999999999998,-0.1,0.47149122807017546,0.006578947368421073,0.046052631578947366
chameleon,9,0.1,0.3,0.25,-0.05,0.47149122807017546,0.006578947368421073,0.046052631578947366
chameleon,9,0.1,0.3,0.3,0.0,0.47149122807017546,0.006578947368421073,0.041666666666666664
chameleon,9,0.1,0.3,0.35,0.05,0.4692982456140351,0.004385964912280715,0.039473684210526314
chameleon,9,0.1,0.3,0.4,0.1,0.4692982456140351,0.004385964912280715,0.03508771929824561
texas,0,0.05,0.3,0.19999999999999998,-0.1,0.7567567567567568,0.0,0.05405405405405406
texas,0,0.05,0.3,0.25,-0.05,0.7567567567567568,0.0,0.05405405405405406
texas,0,0.05,0.3,0.3,0.0,0.7567567567567568,0.0,0.05405405405405406
texas,0,0.05,0.3,0.35,0.05,0.7567567567567568,0.0,0.02702702702702703
texas,0,0.05,0.3,0.4,0.1,0.7567567567567568,0.0,0.02702702702702703
texas,1,0.05,0.3,0.19999999999999998,-0.1,0.972972972972973,0.027027027027027084,0.02702702702702703
texas,1,0.05,0.3,0.25,-0.05,0.972972972972973,0.027027027027027084,0.02702702702702703
texas,1,0.05,0.3,0.3,0.0,0.972972972972973,0.027027027027027084,0.02702702702702703
texas,1,0.05,0.3,0.35,0.05,0.9459459459459459,0.0,0.0
texas,1,0.05,0.3,0.4,0.1,0.9459459459459459,0.0,0.0
texas,2,0.05,0.3,0.19999999999999998,-0.1,0.8378378378378378,0.0,0.0
texas,2,0.05,0.3,0.25,-0.05,0.8378378378378378,0.0,0.0
texas,2,0.05,0.3,0.3,0.0,0.8378378378378378,0.0,0.0
texas,2,0.05,0.3,0.35,0.05,0.8378378378378378,0.0,0.0
texas,2,0.05,0.3,0.4,0.1,0.8378378378378378,0.0,0.0
texas,3,0.05,0.3,0.19999999999999998,-0.1,0.8378378378378378,0.027027027027026973,0.05405405405405406
texas,3,0.05,0.3,0.25,-0.05,0.8378378378378378,0.027027027027026973,0.05405405405405406
texas,3,0.05,0.3,0.3,0.0,0.8378378378378378,0.027027027027026973,0.05405405405405406
texas,3,0.05,0.3,0.35,0.05,0.8378378378378378,0.027027027027026973,0.05405405405405406
texas,3,0.05,0.3,0.4,0.1,0.8108108108108109,0.0,0.02702702702702703
texas,4,0.05,0.3,0.19999999999999998,-0.1,0.7027027027027027,-0.027027027027026973,0.05405405405405406
texas,4,0.05,0.3,0.25,-0.05,0.7027027027027027,-0.027027027027026973,0.05405405405405406
texas,4,0.05,0.3,0.3,0.0,0.7297297297297297,0.0,0.02702702702702703
texas,4,0.05,0.3,0.35,0.05,0.7297297297297297,0.0,0.0
texas,4,0.05,0.3,0.4,0.1,0.7297297297297297,0.0,0.0
texas,5,0.05,0.3,0.19999999999999998,-0.1,0.7297297297297297,-0.027027027027027084,0.02702702702702703
texas,5,0.05,0.3,0.25,-0.05,0.7297297297297297,-0.027027027027027084,0.02702702702702703
texas,5,0.05,0.3,0.3,0.0,0.7297297297297297,-0.027027027027027084,0.02702702702702703
